COMPOSTO	DOSE	PROF	REP	INTOX
BTT	0	5	1	60
BTT	0	5	2	70
BTT	0	5	3	60
BTT	0	5	4	63
BTT	0	10	1	60
BTT	0	10	2	60
BTT	0	10	3	60
BTT	0	10	4	60
BTT	0	15	1	60
BTT	0	15	2	60
BTT	0	15	3	66
BTT	0	15	4	80
BTT	0	20	1	60
BTT	0	20	2	60
BTT	0	20	3	60
BTT	0	20	4	80
BTT	0	25	1	60
BTT	0	25	2	50
BTT	0	25	3	60
BTT	0	25	4	70
BTT	0	30	1	50
BTT	0	30	2	40
BTT	0	30	3	60
BTT	0	30	4	70
BTT	0	35	1	20
BTT	0	35	2	40
BTT	0	35	3	50
BTT	0	35	4	60
BTT	0	40	1	20
BTT	0	40	2	40
BTT	0	40	3	40
BTT	0	40	4	60
BTT	0	45	1	20
BTT	0	45	2	30
BTT	0	45	3	40
BTT	0	45	4	60
BTT	50	5	1	60
BTT	50	5	2	70
BTT	50	5	3	60
BTT	50	5	4	60
BTT	50	10	1	60
BTT	50	10	2	50
BTT	50	10	3	60
BTT	50	10	4	56
BTT	50	15	1	50
BTT	50	15	2	50
BTT	50	15	3	60
BTT	50	15	4	60
BTT	50	20	1	50
BTT	50	20	2	50
BTT	50	20	3	60
BTT	50	20	4	60
BTT	50	25	1	40
BTT	50	25	2	50
BTT	50	25	3	60
BTT	50	25	4	60
BTT	50	30	1	30
BTT	50	30	2	50
BTT	50	30	3	60
BTT	50	30	4	60
BTT	50	35	1	20
BTT	50	35	2	40
BTT	50	35	3	40
BTT	50	35	4	40
BTT	50	40	1	20
BTT	50	40	2	40
BTT	50	40	3	40
BTT	50	40	4	30
BTT	50	45	1	20
BTT	50	45	2	40
BTT	50	45	3	40
BTT	50	45	4	30
BTT	100	5	1	60
BTT	100	5	2	70
BTT	100	5	3	70
BTT	100	5	4	70
BTT	100	10	1	60
BTT	100	10	2	65
BTT	100	10	3	65
BTT	100	10	4	70
BTT	100	15	1	60
BTT	100	15	2	70
BTT	100	15	3	66
BTT	100	15	4	70
BTT	100	20	1	60
BTT	100	20	2	70
BTT	100	20	3	63
BTT	100	20	4	60
BTT	100	25	1	40
BTT	100	25	2	70
BTT	100	25	3	70
BTT	100	25	4	60
BTT	100	30	1	20
BTT	100	30	2	6
BTT	100	30	3	70
BTT	100	30	4	60
BTT	100	35	1	20
BTT	100	35	2	50
BTT	100	35	3	60
BTT	100	35	4	50
BTT	100	40	1	45
BTT	100	40	2	40
BTT	100	40	3	50
BTT	100	40	4	45
BTT	100	45	1	40
BTT	100	45	2	30
BTT	100	45	3	50
BTT	100	45	4	40
BTT	150	5	1	50
BTT	150	5	2	80
BTT	150	5	3	70
BTT	150	5	4	70
BTT	150	10	1	50
BTT	150	10	2	80
BTT	150	10	3	70
BTT	150	10	4	70
BTT	150	15	1	50
BTT	150	15	2	70
BTT	150	15	3	70
BTT	150	15	4	70
BTT	150	20	1	50
BTT	150	20	2	60
BTT	150	20	3	70
BTT	150	20	4	60
BTT	150	25	1	50
BTT	150	25	2	60
BTT	150	25	3	60
BTT	150	25	4	60
BTT	150	30	1	46
BTT	150	30	2	40
BTT	150	30	3	40
BTT	150	30	4	60
BTT	150	35	1	46
BTT	150	35	2	40
BTT	150	35	3	40
BTT	150	35	4	60
BTT	150	40	1	40
BTT	150	40	2	40
BTT	150	40	3	40
BTT	150	40	4	40
BTT	150	45	1	40
BTT	150	45	2	40
BTT	150	45	3	40
BTT	150	45	4	40
BS	0	5	1	60
BS	0	5	3	60
BS	0	5	4	63
BS	0	5	2	70
BS	0	10	1	60
BS	0	10	2	60
BS	0	10	3	60
BS	0	10	4	60
BS	0	15	1	60
BS	0	15	2	60
BS	0	15	3	66
BS	0	15	4	80
BS	0	20	1	60
BS	0	20	2	60
BS	0	20	3	60
BS	0	20	4	80
BS	0	25	2	50
BS	0	25	1	60
BS	0	25	3	60
BS	0	25	4	70
BS	0	30	2	40
BS	0	30	1	50
BS	0	30	3	60
BS	0	30	4	70
BS	0	35	2	40
BS	0	35	3	50
BS	0	35	4	60
BS	0	35	1	70
BS	0	40	2	40
BS	0	40	3	40
BS	0	40	1	50
BS	0	40	4	60
BS	0	45	2	30
BS	0	45	1	40
BS	0	45	3	40
BS	0	45	4	60
BS	50	5	2	60
BS	50	5	1	70
BS	50	5	4	70
BS	50	5	3	80
BS	50	10	2	60
BS	50	10	3	60
BS	50	10	1	70
BS	50	10	4	70
BS	50	15	2	60
BS	50	15	3	67
BS	50	15	1	70
BS	50	15	4	70
BS	50	20	1	60
BS	50	20	2	60
BS	50	20	3	60
BS	50	20	4	70
BS	50	25	1	60
BS	50	25	2	60
BS	50	25	3	60
BS	50	25	4	60
BS	50	30	1	60
BS	50	30	2	60
BS	50	30	3	60
BS	50	30	4	60
BS	50	35	2	50
BS	50	35	1	60
BS	50	35	3	60
BS	50	35	4	60
BS	50	40	1	40
BS	50	40	2	40
BS	50	40	3	60
BS	50	40	4	60
BS	50	45	1	40
BS	50	45	2	40
BS	50	45	3	60
BS	50	45	4	60
BS	100	5	1	60
BS	100	5	2	60
BS	100	5	3	80
BS	100	5	4	80
BS	100	10	1	60
BS	100	10	2	60
BS	100	10	3	70
BS	100	10	4	70
BS	100	15	1	60
BS	100	15	2	60
BS	100	15	3	60
BS	100	15	4	70
BS	100	20	1	43
BS	100	20	3	43
BS	100	20	2	60
BS	100	20	4	70
BS	100	25	1	50
BS	100	25	2	60
BS	100	25	3	60
BS	100	25	4	70
BS	100	30	1	50
BS	100	30	2	60
BS	100	30	3	60
BS	100	30	4	70
BS	100	35	1	50
BS	100	35	3	50
BS	100	35	2	60
BS	100	35	4	60
BS	100	40	1	40
BS	100	40	2	40
BS	100	40	3	40
BS	100	40	4	40
BS	100	45	1	40
BS	100	45	2	40
BS	100	45	3	40
BS	100	45	4	40
BS	150	5	1	60
BS	150	5	2	60
BS	150	5	3	70
BS	150	5	4	80
BS	150	10	1	60
BS	150	10	2	60
BS	150	10	3	70
BS	150	10	4	70
BS	150	15	1	60
BS	150	15	2	60
BS	150	15	3	70
BS	150	15	4	70
BS	150	20	2	60
BS	150	20	1	67
BS	150	20	3	70
BS	150	20	4	70
BS	150	25	1	50
BS	150	25	2	60
BS	150	25	3	70
BS	150	25	4	70
BS	150	30	1	50
BS	150	30	2	60
BS	150	30	3	70
BS	150	30	4	70
BS	150	35	3	40
BS	150	35	1	60
BS	150	35	2	60
BS	150	35	4	60
BS	150	40	1	40
BS	150	40	3	40
BS	150	40	2	50
BS	150	40	4	50
BS	150	45	3	40
BS	150	45	4	40
BS	150	45	2	50
BS	150	45	1	70
